CustomerID,LookalikeID,SimilarityScore
C0001,C0190,0.9412136501652907
C0001,C0048,0.9383763474174801
C0001,C0152,0.90533750286123
C0002,C0088,0.9939476533607408
C0002,C0043,0.9273844846867597
C0002,C0106,0.8934729826825925
C0003,C0052,0.9392760987067142
C0003,C0152,0.9289763493223632
C0003,C0195,0.9089492145897478
C0004,C0165,0.966897734627972
C0004,C0169,0.965350516280236
C0004,C0067,0.9326844430969763
C0005,C0146,0.9847821899768373
C0005,C0186,0.9807326844168496
C0005,C0159,0.9265094356782574
C0006,C0168,0.9719415767788323
C0006,C0183,0.9689035541890412
C0006,C0187,0.9666578837491728
C0007,C0140,0.9717166918558063
C0007,C0115,0.9356549560222023
C0007,C0080,0.9269043383224871
C0008,C0113,0.8785658913776914
C0008,C0124,0.8517253450416188
C0008,C0160,0.7900977909306278
C0009,C0198,0.9722082958650685
C0009,C0103,0.9705139222806612
C0009,C0062,0.9503960283347112
C0010,C0121,0.9325336701346829
C0010,C0111,0.9142574121877607
C0010,C0019,0.882347849369445
C0011,C0126,0.9675850147452482
C0011,C0137,0.954708097156376
C0011,C0153,0.8999369873073677
C0012,C0104,0.9691843719283972
C0012,C0113,0.9485944752788524
C0012,C0195,0.9469119652596809
C0013,C0099,0.9837401685921097
C0013,C0087,0.9471448366465652
C0013,C0082,0.9459040295426039
C0014,C0060,0.9764119137861434
C0014,C0199,0.9705700459683176
C0014,C0097,0.9695239836394797
C0015,C0131,0.9748021441532638
C0015,C0036,0.9675054390706855
C0015,C0144,0.9066706155692483
C0016,C0183,0.9099665729745667
C0016,C0187,0.8705048224880388
C0016,C0085,0.8243158858648877
C0017,C0075,0.9536950112209895
C0017,C0175,0.9490867235796142
C0017,C0101,0.9005467747186119
C0018,C0046,0.9193374536070003
C0018,C0082,0.9138872093478094
C0018,C0087,0.9079183878249424
C0019,C0121,0.965029007676913
C0019,C0043,0.8986034307604659
C0019,C0094,0.8931017465474875
C0020,C0042,0.8741846441811676
C0020,C0130,0.8076665347050322
C0020,C0050,0.793447746828355
